unix_time_start,event,browser_received_count,server_received_count,facebook_sdk_received_count,mmp_received_count,ae_api_received_count,ads_sdk_received_count,total_count
1767182400,QuizStep,34,34,0,0,0,0,68
1767193200,QuizStep,37,36,0,0,0,0,73
1767207600,QuizStep,65,65,0,0,0,0,130
1767218400,QuizStep,70,70,0,0,0,0,140
1767222000,QuizStep,198,198,0,0,0,0,396
1767225600,QuizStep,5,5,0,0,0,0,10
1767229200,QuizStep,41,41,0,0,0,0,82
1767232800,QuizStep,24,24,0,0,0,0,48
1767236400,QuizStep,10,10,0,0,0,0,20
1767240000,QuizStep,3,3,0,0,0,0,6
1767243600,QuizStep,1,1,0,0,0,0,2
1767250800,QuizStep,2,2,0,0,0,0,4
1767258000,QuizStep,13,13,0,0,0,0,26
1767261600,QuizStep,1,1,0,0,0,0,2
1767265200,QuizStep,69,68,0,0,0,0,137
1767276000,QuizStep,40,40,0,0,0,0,80
1767286800,QuizStep,34,34,0,0,0,0,68
1767301200,QuizStep,35,35,0,0,0,0,70
1767304800,QuizStep,35,35,0,0,0,0,70
1767312000,QuizStep,35,35,0,0,0,0,70
1767315600,QuizStep,7,7,0,0,0,0,14
1767344400,QuizStep,5,5,0,0,0,0,10
1767362400,QuizStep,1,1,0,0,0,0,2
1767380400,QuizStep,36,36,0,0,0,0,72
1767423600,QuizStep,25,25,0,0,0,0,50
1767427200,QuizStep,10,10,0,0,0,0,20
1767466800,QuizStep,35,35,0,0,0,0,70
1767470400,QuizStep,7,7,0,0,0,0,14
1767477600,QuizStep,37,37,0,0,0,0,74
1767481200,QuizStep,71,71,0,0,0,0,142
1767484800,QuizStep,122,122,0,0,0,0,244
1767488400,QuizStep,37,37,0,0,0,0,74
1767582000,QuizStep,56,56,0,0,0,0,112
1767585600,QuizStep,85,85,0,0,0,0,170
1767589200,QuizStep,99,99,0,0,0,0,198
1767646800,QuizStep,62,62,0,0,0,0,124
1767650400,QuizStep,42,42,0,0,0,0,84
1767654000,QuizStep,64,64,0,0,0,0,128
1767661200,QuizStep,37,37,0,0,0,0,74
1767682800,QuizStep,91,91,0,0,0,0,182
1767686400,QuizStep,83,83,0,0,0,0,166
1767690000,QuizStep,134,134,0,0,0,0,268
1767697200,QuizStep,62,62,0,0,0,0,124
1767762000,QuizStep,7,7,0,0,0,0,14
1767765600,QuizStep,47,47,0,0,0,0,94
1767812400,QuizStep,45,45,0,0,0,0,90
1767816000,QuizStep,112,112,0,0,0,0,224
1767819600,QuizStep,262,261,0,0,0,0,523
1767826800,QuizStep,101,100,0,0,0,0,201
1767830400,QuizStep,202,200,0,0,0,0,402
1767834000,QuizStep,46,46,0,0,0,0,92
1767837600,QuizStep,3,3,0,0,0,0,6
1767841200,QuizStep,67,66,0,0,0,0,133
1767844800,QuizStep,30,30,0,0,0,0,60
1767848400,QuizStep,64,64,0,0,0,0,128
1767855600,QuizStep,30,30,0,0,0,0,60
1767888000,QuizStep,42,42,0,0,0,0,84
1767891600,QuizStep,56,56,0,0,0,0,112
1767895200,QuizStep,4,4,0,0,0,0,8
1767902400,QuizStep,101,100,0,0,0,0,201
1767909600,QuizStep,37,37,0,0,0,0,74
1767913200,QuizStep,44,44,0,0,0,0,88
1767916800,QuizStep,60,60,0,0,0,0,120
1767927600,QuizStep,56,56,0,0,0,0,112
1767934800,QuizStep,43,43,0,0,0,0,86
1767938400,QuizStep,42,42,0,0,0,0,84
1767942000,QuizStep,126,126,0,0,0,0,252
1767945600,QuizStep,9,9,0,0,0,0,18
1767949200,QuizStep,3,3,0,0,0,0,6
Download our Terms for Facebook Business Tools at https://www.facebook.com/legal/terms/businesstools/update
